"id","name","tag","parent","types"
"AFA","AFA","AFA","ALL","parents"
"BAT","Batxillerat","Batxillerat","ALL","parents;students"
"BAT-1R-","1r BAT","Batxillerat:1r BAT","BAT","parents;students"
"BATX 1r A","1r BAT A","Batxillerat:1r BAT:1r BAT A","BAT-1R-","parents;students"
"BAT-1R--1R--1R-","1r BAT A-1","Batxillerat:1r BAT:1r BAT A:1r BAT A-1","BATX 1r A","parents;students"
"BAT-1R--1R--1R-0","1r BAT A-2","Batxillerat:1r BAT:1r BAT A:1r BAT A-2","BATX 1r A","parents;students"
"BATX 1r B","1r BAT B","Batxillerat:1r BAT:1r BAT B","BAT-1R-","parents;students"
"BAT-1R--1R--1R-1","1r BAT B-1","Batxillerat:1r BAT:1r BAT B:1r BAT B-1","BATX 1r B","parents;students"
"BAT-1R--1R--1R-2","1r BAT B-2","Batxillerat:1r BAT:1r BAT B:1r BAT B-2","BATX 1r B","parents;students"
"BAT-1R--OPT","Optatives 1BAT","Batxillerat:1r BAT:Optatives 1BAT","BAT-1R-","parents;students"
"BAT1 Economia 1","OPTBAT1.1 Economia 1","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.1 Economia 1","BAT-1R--OPT","parents;students"
"BAT1 Grec 1","OPTBAT1.1 Grec 1","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.1 Grec 1","BAT-1R--OPT","parents;students"
"BAT1 Matemàtiques 1","OPTBAT1.1 Matemàtiques 1","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.1 Matemàtiques 1","BAT-1R--OPT","parents;students"
"BAT1 Física 1","OPTBAT1.2 Física 1","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.2 Física 1","BAT-1R--OPT","parents;students"
"OPTBAT1.2 Geologia i ciències ambientals","OPTBAT1.2 Geologia i ciències ambientals","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.2 Geologia i ciències ambientals","BAT-1R--OPT","parents;students"
"BAT1 Llatí 1","OPTBAT1.2 Llatí 1","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.2 Llatí 1","BAT-1R--OPT","parents;students"
"BAT1 Mates CS 1","OPTBAT1.2 Matemàtiques Ciències Socials","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.2 Matemàtiques Ciències Socials","BAT-1R--OPT","parents;students"
"BAT1 H. Món Contmp","OPTBAT1.3 Història del mon contemporani","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.3 Història del mon contemporani","BAT-1R--OPT","parents;students"
"BAT1 Lit. Universal","OPTBAT1.3 Literatura Universal","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.3 Literatura Universal","BAT-1R--OPT","parents;students"
"BAT1 Química 1","OPTBAT1.3 Química 1","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.3 Química 1","BAT-1R--OPT","parents;students"
"BAT1 Tecn-enginy 1","OPTBAT1.3 Tecnologia i Enginyeria 1","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.3 Tecnologia i Enginyeria 1","BAT-1R--OPT","parents;students"
"BAT1 Biomedicina","OPTBAT1.4 Biomedicina","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.4 Biomedicina","BAT-1R--OPT","parents;students"
"BAT1 Dibuix tècnic","OPTBAT1.4 Dibuix Tècnic","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.4 Dibuix Tècnic","BAT-1R--OPT","parents;students"
"BAT1 Francès","OPTBAT1.4 Francès","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.4 Francès","BAT-1R--OPT","parents;students"
"BAT1 Func. empresa","OPTBAT1.4 Funcionament de l'empresa","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.4 Funcionament de l'empresa","BAT-1R--OPT","parents;students"
"BAT1 Programació","OPTBAT1.4 Programació","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.4 Programació","BAT-1R--OPT","parents;students"
"BAT1 Psicologia","OPTBAT1.4 Psicologia i Sociologia","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.4 Psicologia i Sociologia","BAT-1R--OPT","parents;students"
"BAT1 Creació lit","OPTBAT1.5 Creació literària","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.5 Creació literària","BAT-1R--OPT","parents;students"
"BAT1 Mat APLIC","OPTBAT1.5 Matemàtica aplicada","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.5 Matemàtica aplicada","BAT-1R--OPT","parents;students"
"BAT1 Món clàssic","OPTBAT1.5 Món clàssic","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.5 Món clàssic","BAT-1R--OPT","parents;students"
"BAT1 Problem. socials","OPTBAT1.5 Problemàtiques socials","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.5 Problemàtiques socials","BAT-1R--OPT","parents;students"
"BAT1 Reptes BIO-GEO","OPTBAT1.5 Reptes científics actuals (Biologia i Geologia)","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.5 Reptes científics actuals (Biologia i Geologia)","BAT-1R--OPT","parents;students"
"OPTBAT1.6 Biologia 1","OPTBAT1.6 Biologia 1","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.6 Biologia 1","BAT-1R--OPT","parents;students"
"BAT1 Ciutadania pol. dret","OPTBAT1.6 Ciutadania, Política i Dret","Batxillerat:1r BAT:Optatives 1BAT:OPTBAT1.6 Ciutadania, Política i Dret","BAT-1R--OPT","parents;students"
